CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Issue Kind
11100,Incorrect deallocator used,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,API usage errors,/Tools/OSTools/ToolRstReport/rstreport.c,DispRecs,Quality
11101,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Vehctrl/Air/LibAirModel/air_model.c,air_model_initialize,Quality
11105,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Vehctrl/Grid/LibGridDbsMdl/grid_dbs_mdl.c,grid_dbs_mdl_Enabled_Su_a_Start,Quality
11106,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Vehctrl/Grid/LibGridDbsMdl/grid_dbs_mdl.c,grid_dbs_mdl_Enabled_Su_b_Start,Quality
11107,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Vehctrl/Grid/LibGridDbsMdl/grid_dbs_mdl.c,grid_dbs_mdl_initialize,Quality
11109,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Cms/LibCms/cms.c,cms_initialize,Quality
11110,Out-of-bounds access,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Memory - corruptions,/Arcnet/ProcArc20022/rx.c,rxBuildChain,Quality
11111,Out-of-bounds access,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Memory - corruptions,/Arcnet/ProcArc20022/rx.c,rx_processing,Quality
11112,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Vehctrl/Prop/LibDcTractionDiagMdl/dc_traction_diag_mdl.c,dc_traction_diag_mdl_initialize,Quality
11113,Out-of-bounds access,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - corruptions,/Tools/Arctester/ToolArctst/arctst.cc,process_driver_cmds,Quality
11114,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Epc/LibEpc/epc_incident_class.cc,rearm,Various
11115,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Epc/LibEpc/epc_incident_class.cc,evaluate,Various
11116,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Prop/LibTmdModel/tmd_model.c,m1_c4_tmd_per_motor_lib,Various
11117,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Prop/LibTmdModel/tmd_model.c,m2_c4_jtmd_per_motor_lib,Various
11120,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Tripopt/LibToSupMdl/to_sup_mdl.c,to_sup_mdl_step,Various
11121,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Prop/LibRailCondMdl/rail_cond.c,rail_cond_step,Various
11122,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Prop/LibRailCondMdl/rail_cond.c,rail_cond_step,Various
11124,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Prop/LibRailCondMdl/rail_cond.c,rail_cond_step,Various
11127,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Rsf/LibRsfMdl/rsf_mdl.c,rsf_mdl_step,Various
11128,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Rsf/LibRsfMdl/rsf_mdl.c,rsf_mdl_step,Various
11129,Inequality comparison against NULL,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Incorrect expression,/Mmi/ProcDispMca/cs_switch_log.c,log_decode,Various
11130,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Link/LibLinkModel/link_model.c,link_model_step,Various
11131,Unintended comparison to logical negation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Link/LibLinkModel/link_model.c,link_model_step,Various
11133,Bad bit shift operation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/Cmg/OpenSLP/LibOpenSLP/slp_utf8.c,unitoutf,Quality
11134,Bad bit shift operation,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Integer handling issues,/Launch/LibLaunch/node_config.cc,node_config,Quality
11135,Bad bit shift operation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/boot/ppcbe/src/hardware/flash/mtd-flash/socket_option.c,f3s_socket_option,Quality
11136,Bad bit shift operation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/boot/ppcbe/src/hardware/startup/lib/ppc/ppcv_map_booke.c,ppcv_map_booke,Quality
11137,Bad bit shift operation,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/boot/ppcbe/src/hardware/flash/mtd-flash/sram/sram_ident.c,f3s_sram_ident,Quality
11138,Destination buffer too small,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Memory - corruptions,/Dts/Inc/dts.h,forceValues,Various
11139,Buffer not null terminated,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - illegal accesses,/boot/ppcbe/src/lib/io-char/icpower.c,iochar_init_power,Quality
11140,Buffer not null terminated,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - illegal accesses,/boot/ppcbe/src/lib/io-char/io_devctl.c,io_devctl,Quality
11141,Buffer not null terminated,High,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Memory - illegal accesses,/boot/ppcbe/src/lib/io-char/ttc.c,ttc,Quality
11142,Ignoring number of bytes read,Medium,Fixed,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDispMca/cs_setup_up.c,write_record_to_file,Quality
11143,Ignoring number of bytes read,Medium,Fixed,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDispMca/consist_manager.c,mmi_read_cms_models_from_nv,Quality
11144,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cfgmgr/LibCmStartup/cm_startup.cc,removeFiles,Quality
11145,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cfgmgr/LibCmStartup/cm_startup.cc,calcFileCksum,Quality
